take,generation,normal_cell_number,mutant_cell_number,mutant_ratio
1,1,989,11,0.011
1,2,982,10,0.010080645161290322
1,3,987,15,0.014970059880239521
1,4,983,18,0.017982017982017984
1,5,972,19,0.01917255297679112
1,6,1004,18,0.01761252446183953
1,7,991,17,0.016865079365079364
1,8,1028,21,0.02001906577693041
1,9,1052,19,0.017740429505135387
1,10,1028,21,0.02001906577693041
1,11,999,16,0.015763546798029555
1,12,1007,17,0.0166015625
1,13,1009,15,0.0146484375
1,14,988,13,0.012987012987012988
1,15,994,10,0.0099601593625498
1,16,1007,6,0.005923000987166831
1,17,976,8,0.008130081300813009
1,18,972,9,0.009174311926605505
1,19,960,8,0.008264462809917356
1,20,968,6,0.006160164271047228
1,21,959,5,0.005186721991701245
1,22,956,4,0.004166666666666667
1,23,972,3,0.003076923076923077
1,24,988,4,0.004032258064516129
1,25,994,4,0.004008016032064128
1,26,997,4,0.003996003996003996
1,27,1016,3,0.002944062806673209
1,28,1005,4,0.003964321110009911
1,29,1010,4,0.0039447731755424065
1,30,1036,6,0.005758157389635317
1,31,1008,4,0.003952569169960474
1,32,1014,3,0.0029498525073746312
1,33,1000,2,0.001996007984031936
1,34,966,1,0.001034126163391934
1,35,961,0,0.0
2,1,991,9,0.009
2,2,976,13,0.01314459049544995
2,3,1004,9,0.008884501480750246
2,4,1015,6,0.005876591576885406
2,5,1016,7,0.006842619745845552
2,6,1031,6,0.0057859209257473485
2,7,1019,5,0.0048828125
2,8,1028,4,0.003875968992248062
2,9,1025,4,0.003887269193391642
2,10,1022,5,0.004868549172346641
2,11,1045,6,0.005708848715509039
2,12,1041,6,0.0057306590257879654
2,13,1077,5,0.0046210720887245845
2,14,1055,7,0.006591337099811676
2,15,1038,6,0.005747126436781609
2,16,1009,7,0.006889763779527559
2,17,995,8,0.007976071784646061
2,18,1006,7,0.006910167818361303
2,19,1017,6,0.005865102639296188
2,20,1001,7,0.006944444444444444
2,21,1031,8,0.007699711260827719
2,22,1074,7,0.0064754856614246065
2,23,1057,5,0.004708097928436911
2,24,1051,4,0.0037914691943127963
2,25,1050,2,0.0019011406844106464
2,26,1033,4,0.003857280617164899
2,27,1063,5,0.0046816479400749065
2,28,1041,8,0.0076263107721639654
2,29,1042,8,0.007619047619047619
2,30,1043,10,0.00949667616334283
2,31,1017,6,0.005865102639296188
2,32,1019,6,0.005853658536585366
2,33,1018,8,0.007797270955165692
2,34,1037,7,0.006704980842911878
2,35,1038,6,0.005747126436781609
2,36,1031,5,0.004826254826254826
2,37,1034,8,0.007677543186180422
2,38,1048,5,0.004748338081671415
2,39,1009,5,0.004930966469428008
2,40,1027,4,0.0038797284190106693
2,41,1019,4,0.0039100684261974585
2,42,1047,4,0.003805899143672693
2,43,1069,4,0.003727865796831314
2,44,1082,5,0.004599816007359705
2,45,1061,6,0.005623242736644799
2,46,1056,7,0.00658513640639699
2,47,1061,7,0.006554307116104869
2,48,1049,9,0.008506616257088847
2,49,1046,11,0.010406811731315043
2,50,1018,9,0.008763388510223954
2,51,1005,9,0.008875739644970414
2,52,986,9,0.009045226130653266
2,53,964,3,0.0031023784901758012
2,54,965,4,0.0041279669762641896
2,55,977,4,0.004077471967380225
2,56,991,5,0.0050200803212851405
2,57,1006,7,0.006910167818361303
2,58,1011,5,0.004921259842519685
2,59,994,2,0.002008032128514056
2,60,978,2,0.0020408163265306124
2,61,977,1,0.0010224948875255625
2,62,966,0,0.0
3,1,987,13,0.013
3,2,1007,17,0.0166015625
3,3,1038,15,0.014245014245014245
3,4,1056,18,0.01675977653631285
3,5,1059,15,0.013966480446927373
3,6,1056,18,0.01675977653631285
3,7,1026,19,0.01818181818181818
3,8,1042,15,0.014191106906338695
3,9,1048,18,0.016885553470919325
3,10,1071,23,0.02102376599634369
3,11,1042,27,0.025257249766136577
3,12,1043,21,0.019736842105263157
3,13,1032,24,0.022727272727272728
3,14,1050,24,0.0223463687150838
3,15,1062,26,0.02389705882352941
3,16,1038,29,0.02717900656044986
3,17,1054,30,0.027675276752767528
3,18,1049,23,0.021455223880597014
3,19,1035,26,0.024505183788878417
3,20,1011,27,0.02601156069364162
3,21,1009,28,0.02700096432015429
3,22,998,29,0.028237585199610515
3,23,1009,22,0.02133850630455868
3,24,1006,22,0.021400778210116732
3,25,1024,19,0.01821668264621285
3,26,1052,23,0.021395348837209303
3,27,1044,22,0.020637898686679174
3,28,1023,23,0.02198852772466539
3,29,1023,19,0.018234165067178502
3,30,1020,22,0.02111324376199616
3,31,1040,23,0.021636876763875823
3,32,1036,27,0.02539981185324553
3,33,1045,26,0.02427637721755369
3,34,1027,28,0.026540284360189573
3,35,1036,23,0.021718602455146365
3,36,1032,20,0.019011406844106463
3,37,1006,15,0.014691478942213516
3,38,989,12,0.011988011988011988
3,39,997,10,0.009930486593843098
3,40,997,9,0.008946322067594433
3,41,989,11,0.011
3,42,992,7,0.007007007007007007
3,43,977,6,0.006103763987792472
3,44,988,6,0.006036217303822937
3,45,999,6,0.005970149253731343
3,46,986,4,0.00404040404040404
3,47,1039,4,0.003835091083413231
3,48,1055,4,0.003777148253068933
3,49,1042,5,0.004775549188156638
3,50,1029,4,0.003872216844143272
3,51,1036,5,0.004803073967339097
3,52,1056,7,0.00658513640639699
3,53,1041,9,0.008571428571428572
3,54,1046,11,0.010406811731315043
3,55,1040,12,0.011406844106463879
3,56,1014,10,0.009765625
3,57,985,10,0.010050251256281407
3,58,953,14,0.014477766287487074
3,59,939,15,0.015723270440251572
3,60,936,16,0.01680672268907563
3,61,960,14,0.014373716632443531
3,62,977,12,0.012133468149646108
3,63,963,15,0.015337423312883436
3,64,961,16,0.016376663254861822
3,65,957,14,0.014418125643666324
3,66,970,13,0.013224821973550356
3,67,970,17,0.017223910840932118
3,68,969,11,0.011224489795918367
3,69,945,12,0.012539184952978056
3,70,989,9,0.009018036072144289
3,71,1025,11,0.010617760617760617
3,72,1030,11,0.010566762728146013
3,73,1048,11,0.010387157695939566
3,74,1059,11,0.010280373831775701
3,75,1037,11,0.01049618320610687
3,76,1026,9,0.008695652173913044
3,77,1008,7,0.006896551724137931
3,78,1026,6,0.005813953488372093
3,79,1024,9,0.008712487899322363
3,80,1043,15,0.014177693761814745
3,81,1037,19,0.017992424242424244
3,82,1026,21,0.02005730659025788
3,83,1029,23,0.021863117870722433
3,84,1015,19,0.0183752417794971
3,85,1033,20,0.01899335232668566
3,86,1074,17,0.015582034830430797
3,87,1050,20,0.018691588785046728
3,88,1056,20,0.01858736059479554
3,89,1035,18,0.017094017094017096
3,90,1036,18,0.017077798861480076
3,91,1046,19,0.01784037558685446
3,92,1031,21,0.019961977186311788
3,93,1042,21,0.01975540921919097
3,94,1060,24,0.02214022140221402
3,95,1046,22,0.020599250936329586
3,96,1028,22,0.02095238095238095
3,97,1011,28,0.026948989412897015
3,98,995,17,0.016798418972332016
3,99,991,16,0.015888778550148957
3,100,963,16,0.01634320735444331
3,101,968,23,0.02320887991927346
3,102,960,22,0.02240325865580448
3,103,942,16,0.016701461377870562
3,104,956,18,0.018480492813141684
3,105,942,19,0.019771071800208116
3,106,962,21,0.021363173957273652
3,107,980,15,0.01507537688442211
3,108,947,16,0.016614745586708203
3,109,939,15,0.015723270440251572
3,110,922,20,0.021231422505307854
3,111,924,18,0.01910828025477707
3,112,911,17,0.018318965517241378
3,113,885,22,0.024255788313120176
3,114,880,14,0.015659955257270694
3,115,914,14,0.015086206896551725
3,116,919,12,0.01288936627282492
3,117,894,14,0.015418502202643172
3,118,878,10,0.01126126126126126
3,119,878,7,0.007909604519774011
3,120,863,12,0.013714285714285714
3,121,870,14,0.01583710407239819
3,122,888,14,0.015521064301552107
3,123,879,12,0.013468013468013467
3,124,890,8,0.008908685968819599
3,125,891,13,0.014380530973451327
3,126,902,16,0.017429193899782137
3,127,897,19,0.02074235807860262
3,128,893,25,0.027233115468409588
3,129,869,29,0.03229398663697105
3,130,869,24,0.026875699888017916
3,131,859,20,0.022753128555176336
3,132,858,21,0.023890784982935155
3,133,881,26,0.02866593164277839
3,134,863,31,0.03467561521252797
3,135,862,29,0.03254769921436588
3,136,863,29,0.032511210762331835
3,137,872,26,0.028953229398663696
3,138,888,28,0.03056768558951965
3,139,898,21,0.022850924918389554
3,140,897,18,0.019672131147540985
3,141,906,24,0.025806451612903226
3,142,921,28,0.029504741833508957
3,143,923,31,0.03249475890985325
3,144,906,37,0.03923647932131495
3,145,876,45,0.048859934853420196
3,146,873,40,0.04381161007667032
3,147,867,36,0.03986710963455149
3,148,852,26,0.029612756264236904
3,149,842,25,0.02883506343713956
3,150,834,27,0.0313588850174216
3,151,812,29,0.034482758620689655
3,152,856,35,0.03928170594837262
3,153,874,41,0.04480874316939891
3,154,856,42,0.0467706013363029
3,155,862,41,0.04540420819490587
3,156,860,44,0.048672566371681415
3,157,859,38,0.042363433667781496
3,158,899,38,0.04055496264674493
3,159,891,40,0.04296455424274973
3,160,925,32,0.03343782654127482
3,161,960,29,0.029322548028311426
3,162,954,27,0.027522935779816515
3,163,981,25,0.02485089463220676
3,164,1011,29,0.027884615384615386
3,165,1035,21,0.019886363636363636
3,166,1031,22,0.020892687559354226
3,167,1037,30,0.028116213683223992
3,168,1043,34,0.031569173630454965
3,169,1033,29,0.027306967984934087
3,170,1028,21,0.02001906577693041
3,171,1046,25,0.02334267040149393
3,172,1057,24,0.022201665124884366
3,173,1083,21,0.019021739130434784
3,174,1082,20,0.018148820326678767
3,175,1089,16,0.014479638009049774
3,176,1076,17,0.01555352241537054
3,177,1075,14,0.012855831037649219
3,178,1104,14,0.012522361359570662
3,179,1109,21,0.018584070796460177
3,180,1083,23,0.020795660036166366
3,181,1095,19,0.017055655296229804
3,182,1082,13,0.011872146118721462
3,183,1083,11,0.010054844606946984
3,184,1060,12,0.011194029850746268
3,185,1027,9,0.008687258687258687
3,186,1014,7,0.0068560235063663075
3,187,995,8,0.007976071784646061
3,188,987,8,0.008040201005025126
3,189,1003,7,0.006930693069306931
3,190,1021,4,0.003902439024390244
3,191,1023,6,0.0058309037900874635
3,192,1003,7,0.006930693069306931
3,193,1032,4,0.003861003861003861
3,194,1042,4,0.0038240917782026767
3,195,1012,1,0.0009871668311944718
3,196,1001,2,0.0019940179461615153
3,197,999,1,0.001
3,198,996,0,0.0
4,1,986,14,0.014
4,2,1006,12,0.011787819253438114
4,3,1036,12,0.011450381679389313
4,4,1052,17,0.015902712815715623
4,5,1106,16,0.0142602495543672
4,6,1116,12,0.010638297872340425
4,7,1130,10,0.008771929824561403
4,8,1132,10,0.008756567425569177
4,9,1149,11,0.009482758620689655
4,10,1176,10,0.008431703204047217
4,11,1162,6,0.005136986301369863
4,12,1145,7,0.006076388888888889
4,13,1143,8,0.0069504778453518675
4,14,1145,4,0.0034812880765883376
4,15,1162,5,0.004284490145672665
4,16,1113,7,0.00625
4,17,1111,8,0.0071492403932082215
4,18,1102,7,0.0063119927862939585
4,19,1101,6,0.005420054200542005
4,20,1127,7,0.006172839506172839
4,21,1137,7,0.006118881118881119
4,22,1124,11,0.009691629955947136
4,23,1119,11,0.009734513274336283
4,24,1142,10,0.008680555555555556
4,25,1124,10,0.008818342151675485
4,26,1091,4,0.0036529680365296802
4,27,1096,4,0.0036363636363636364
4,28,1105,5,0.0045045045045045045
4,29,1081,3,0.0027675276752767526
4,30,1115,4,0.0035746201966041107
4,31,1139,6,0.005240174672489083
4,32,1146,4,0.0034782608695652175
4,33,1135,2,0.001759014951627089
4,34,1122,0,0.0
5,1,992,8,0.008
5,2,986,10,0.010040160642570281
5,3,1008,7,0.006896551724137931
5,4,1032,9,0.008645533141210375
5,5,1018,3,0.002938295788442703
5,6,1027,1,0.0009727626459143969
5,7,1009,1,0.0009900990099009901
5,8,1020,1,0.0009794319294809011
5,9,977,2,0.0020429009193054137
5,10,977,3,0.003061224489795918
5,11,984,4,0.004048582995951417
5,12,981,3,0.003048780487804878
5,13,993,6,0.006006006006006006
5,14,988,7,0.007035175879396985
5,15,999,7,0.006958250497017893
5,16,1001,3,0.00298804780876494
5,17,1007,4,0.003956478733926805
5,18,993,4,0.004012036108324975
5,19,984,6,0.006060606060606061
5,20,1007,7,0.006903353057199211
5,21,1010,11,0.010773751224289911
5,22,991,11,0.010978043912175649
5,23,1005,6,0.005934718100890208
5,24,1008,4,0.003952569169960474
5,25,1032,3,0.002898550724637681
5,26,1029,4,0.003872216844143272
5,27,1030,3,0.002904162633107454
5,28,1061,2,0.0018814675446848542
5,29,1038,2,0.0019230769230769232
5,30,997,2,0.002002002002002002
5,31,984,4,0.004048582995951417
5,32,1010,2,0.001976284584980237
5,33,1035,1,0.0009652509652509653
5,34,1035,1,0.0009652509652509653
5,35,1034,1,0.000966183574879227
5,36,1007,1,0.000992063492063492
5,37,1017,2,0.001962708537782139
5,38,1021,3,0.0029296875
5,39,1008,4,0.003952569169960474
5,40,1031,5,0.004826254826254826
5,41,1045,4,0.0038131553860819827
5,42,1071,5,0.004646840148698885
5,43,1063,7,0.0065420560747663555
5,44,1057,2,0.0018885741265344666
5,45,1068,0,0.0
6,1,992,8,0.008
6,2,983,9,0.009072580645161291
6,3,956,9,0.00932642487046632
6,4,971,12,0.012207527975584944
6,5,1004,14,0.0137524557956778
6,6,1066,15,0.013876040703052728
6,7,1079,15,0.013711151736745886
6,8,1108,17,0.015111111111111112
6,9,1116,18,0.015873015873015872
6,10,1138,18,0.015570934256055362
6,11,1153,15,0.012842465753424657
6,12,1159,14,0.011935208866155157
